"time_id","time_actual","hours_24","hours_12","hour_minutes","day_minutes","minute_seconds","day_time_name","day_night"
0,00:00:00,"00","12","00",0,0,AM,Night
1,00:00:01,"00","12","00",1,1,AM,Night
2,00:00:02,"00","12","00",2,2,AM,Night
3,00:00:03,"00","12","00",3,3,AM,Night
4,00:00:04,"00","12","00",4,4,AM,Night
5,00:00:05,"00","12","00",5,5,AM,Night
6,00:00:06,"00","12","00",6,6,AM,Night
7,00:00:07,"00","12","00",7,7,AM,Night
8,00:00:08,"00","12","00",8,8,AM,Night
9,00:00:09,"00","12","00",9,9,AM,Night
10,00:00:10,"00","12","00",10,10,AM,Night
11,00:00:11,"00","12","00",11,11,AM,Night
12,00:00:12,"00","12","00",12,12,AM,Night
13,00:00:13,"00","12","00",13,13,AM,Night
14,00:00:14,"00","12","00",14,14,AM,Night
15,00:00:15,"00","12","00",15,15,AM,Night
16,00:00:16,"00","12","00",16,16,AM,Night
17,00:00:17,"00","12","00",17,17,AM,Night
18,00:00:18,"00","12","00",18,18,AM,Night
19,00:00:19,"00","12","00",19,19,AM,Night
20,00:00:20,"00","12","00",20,20,AM,Night
21,00:00:21,"00","12","00",21,21,AM,Night
22,00:00:22,"00","12","00",22,22,AM,Night
23,00:00:23,"00","12","00",23,23,AM,Night
24,00:00:24,"00","12","00",24,24,AM,Night
25,00:00:25,"00","12","00",25,25,AM,Night
26,00:00:26,"00","12","00",26,26,AM,Night
27,00:00:27,"00","12","00",27,27,AM,Night
28,00:00:28,"00","12","00",28,28,AM,Night
29,00:00:29,"00","12","00",29,29,AM,Night
30,00:00:30,"00","12","00",30,30,AM,Night
31,00:00:31,"00","12","00",31,31,AM,Night
32,00:00:32,"00","12","00",32,32,AM,Night
33,00:00:33,"00","12","00",33,33,AM,Night
34,00:00:34,"00","12","00",34,34,AM,Night
35,00:00:35,"00","12","00",35,35,AM,Night
36,00:00:36,"00","12","00",36,36,AM,Night
37,00:00:37,"00","12","00",37,37,AM,Night
38,00:00:38,"00","12","00",38,38,AM,Night
39,00:00:39,"00","12","00",39,39,AM,Night
40,00:00:40,"00","12","00",40,40,AM,Night
41,00:00:41,"00","12","00",41,41,AM,Night
42,00:00:42,"00","12","00",42,42,AM,Night
43,00:00:43,"00","12","00",43,43,AM,Night
44,00:00:44,"00","12","00",44,44,AM,Night
45,00:00:45,"00","12","00",45,45,AM,Night
46,00:00:46,"00","12","00",46,46,AM,Night
47,00:00:47,"00","12","00",47,47,AM,Night
48,00:00:48,"00","12","00",48,48,AM,Night
49,00:00:49,"00","12","00",49,49,AM,Night
50,00:00:50,"00","12","00",50,50,AM,Night
51,00:00:51,"00","12","00",51,51,AM,Night
52,00:00:52,"00","12","00",52,52,AM,Night
53,00:00:53,"00","12","00",53,53,AM,Night
54,00:00:54,"00","12","00",54,54,AM,Night
55,00:00:55,"00","12","00",55,55,AM,Night
56,00:00:56,"00","12","00",56,56,AM,Night
57,00:00:57,"00","12","00",57,57,AM,Night
58,00:00:58,"00","12","00",58,58,AM,Night
59,00:00:59,"00","12","00",59,59,AM,Night
100,00:01:00,"00","12","01",60,0,AM,Night
101,00:01:01,"00","12","01",61,1,AM,Night
102,00:01:02,"00","12","01",62,2,AM,Night
103,00:01:03,"00","12","01",63,3,AM,Night
104,00:01:04,"00","12","01",64,4,AM,Night
105,00:01:05,"00","12","01",65,5,AM,Night
106,00:01:06,"00","12","01",66,6,AM,Night
107,00:01:07,"00","12","01",67,7,AM,Night
108,00:01:08,"00","12","01",68,8,AM,Night
109,00:01:09,"00","12","01",69,9,AM,Night
110,00:01:10,"00","12","01",70,10,AM,Night
111,00:01:11,"00","12","01",71,11,AM,Night
112,00:01:12,"00","12","01",72,12,AM,Night
113,00:01:13,"00","12","01",73,13,AM,Night
114,00:01:14,"00","12","01",74,14,AM,Night
115,00:01:15,"00","12","01",75,15,AM,Night
116,00:01:16,"00","12","01",76,16,AM,Night
117,00:01:17,"00","12","01",77,17,AM,Night
118,00:01:18,"00","12","01",78,18,AM,Night
119,00:01:19,"00","12","01",79,19,AM,Night
120,00:01:20,"00","12","01",80,20,AM,Night
121,00:01:21,"00","12","01",81,21,AM,Night
122,00:01:22,"00","12","01",82,22,AM,Night
123,00:01:23,"00","12","01",83,23,AM,Night
124,00:01:24,"00","12","01",84,24,AM,Night
125,00:01:25,"00","12","01",85,25,AM,Night
126,00:01:26,"00","12","01",86,26,AM,Night
127,00:01:27,"00","12","01",87,27,AM,Night
128,00:01:28,"00","12","01",88,28,AM,Night
129,00:01:29,"00","12","01",89,29,AM,Night
130,00:01:30,"00","12","01",90,30,AM,Night
131,00:01:31,"00","12","01",91,31,AM,Night
132,00:01:32,"00","12","01",92,32,AM,Night
